source,condition_tag,section,resource_type,content,url,collection
WHO,depression,Key facts,condition_info,"Globally, an estimated 5.7% of adults suffer from depression. More women are affected by depression than men. There is effective treatment for mild, moderate and severe depression. Depressive disorder (also known as depression) is a common mental disorder. It involves a depressed mood or loss of pleasure or interest in activities for long periods of time. Depression is different from regular mood changes and feelings about everyday life. It can affect all aspects of life, including relationships with family, friends and community. It can result from or lead to problems at school and at work. Depression can happen to anyone. People who have lived through abuse, severe losses or other stressful events are more likely to develop depression. Women are more likely to have depression than men. An estimated 4% of the population experience depression, including 5.7% of adults (4.6% among men and 6.9% among women), and 5.9% of adults aged 70 years and older. Approximately 332 million people in the world have depression (1). Depression is about 1.5 times more common among women than among men. Worldwide, more than 10% of pregnant women and women who have just given birth experience depression (2). In 2021, an estimated 727 000 people lost their lives to suicide. Suicide is the third leading cause of death in 15–29-year-olds. In high-income countries, only about one third of people with depression receive mental health treatment (3). Barriers to effective care include a lack of investment in mental health care, lack of trained health-care providers and social stigma associated with mental disorders.",https://www.who.int/news-room/fact-sheets/detail/depression,clinical_guidelines
WHO,depression,Symptoms and patterns,condition_info,"During a depressive episode, a person experiences a depressed mood (feeling sad, irritable, empty). They may feel a loss of pleasure or interest in activities. A depressive episode is different from regular mood fluctuations. They last most of the day, nearly every day, for at least two weeks. Other symptoms are also present, which may include: Depression can cause difficulties in all aspects of life, including in the community and at home, work and school. A depressive episode can be categorized as mild, moderate, or severe depending on the number and severity of symptoms, as well as the impact on the individual’s functioning. There are different patterns of depressive episodes including: single episode depressive disorder, meaning the person’s first and only episode; recurrent depressive disorder, meaning the person has a history of at least two depressive episodes; and bipolar disorder, meaning that depressive episodes alternate with periods of manic symptoms, which include euphoria or irritability, increased activity or energy, and other symptoms such as increased talkativeness, racing thoughts, increased self-esteem, decreased need for sleep, distractibility, and impulsive reckless behaviour.",https://www.who.int/news-room/fact-sheets/detail/depression,clinical_guidelines
WHO,depression,Contributing factors and prevention,condition_info,"Depression results from a complex interaction of social, psychological, and biological factors. People who have gone through adverse life events (unemployment, bereavement, traumatic events) are more likely to develop depression. Depression can, in turn, lead to more stress and dysfunction and worsen the affected person’s life situation and the depression itself. Depression is closely related to and affected by physical health. Many of the factors that influence depression (such as physical inactivity or harmful use of alcohol) are also known risk factors for diseases such as cardiovascular disease, cancer, diabetes and respiratory diseases. In turn, people with these diseases may also find themselves experiencing depression due to the difficulties associated with managing their condition. Prevention programmes have been shown to reduce depression. Effective community approaches to prevent depression include school-based programmes to enhance a pattern of positive coping in children and adolescents. Interventions for parents of children with behavioural problems may reduce parental depressive symptoms and improve outcomes for their children. Exercise programmes for older persons can also be effective in depression prevention.",https://www.who.int/news-room/fact-sheets/detail/depression,clinical_guidelines
WHO,depression,Diagnosis and treatment,condition_info,"There are effective treatments for depression. These include psychological treatment and medications. Seek care if you have symptoms of depression. Psychological treatments are the first treatments for depression. They can be combined with antidepressant medications in moderate and severe depression. Antidepressant medications are not needed for mild depression. Psychological treatments can teach new ways of thinking, coping or relating to others. They may include talk therapy with professionals and supervised lay therapists. Talk therapy can happen in person or online. Psychological treatments may be accessed through self-help manuals, websites and apps. Antidepressant medications include selective serotonin reuptake inhibitors (SSRIs), such as fluoxetine. Health-care providers should keep in mind the possible adverse effects associated with antidepressant medication, the ability to deliver either intervention (in terms of expertise, and/or treatment availability), and individual preferences. Antidepressants should not be used for treating depression in children and are not the first line of treatment in adolescents, among whom they should be used with extra caution. Different medications and treatments are used for bipolar disorder.",https://www.who.int/news-room/fact-sheets/detail/depression,clinical_guidelines
WHO,depression,Self-care,condition_info,"Self-care can play an important role in managing symptoms of depression and promoting overall well-being. try to keep doing activities you used to enjoy exercise regularly, even if it’s just a short walk stick to regular eating and sleeping habits as much as possible avoid or cut down on alcohol and don’t use illicit drugs, which can make depression worse talk to someone you trust about your feelings remember you are not alone, and that many people have gone through what you’re experiencing and found help talk to someone you trust about how you feel talk to a health worker, such as a doctor or counsellor If you think you are in immediate danger of harming yourself, contact any available emergency services or a crisis line.",https://www.who.int/news-room/fact-sheets/detail/depression,clinical_guidelines
WHO,depression,WHO response,condition_info,"WHO’s Comprehensive Mental Health Action Plan 2013–2030 highlights the steps required to provide appropriate interventions for people with mental disorders including depression. Depression and self-harm/suicide are among the priority conditions covered by WHO’s Mental Health Gap Action Programme (mhGAP). The Programme aims to help countries increase services for people with mental, neurological and substance use disorders through care provided by health workers who are not specialists in mental health. WHO has developed brief psychological intervention manuals for depression that may be delivered by lay therapists to individuals and groups. An example is the Problem Management Plus (PM+) manual, which describes the use of behavioural activation, stress management, problem solving treatment and strengthening social support. Moreover, the Group Interpersonal Therapy for Depression manual describes group treatment of depression. Finally, the Thinking Healthy manual covers the use of cognitive-behavioural therapy for perinatal depression. 1. 2021 Global Burden of Disease (GBD) [online database]. Seattle: Institute for Health Metrics and Evaluation; 2024 (https://vizhub.healthdata.org/gbd-results/, accessed 13 August 2025). 2. Woody CA, Ferrari AJ, Siskind DJ, Whiteford HA, Harris MG. A systematic review and meta-regression of the prevalence and incidence of perinatal depression. J Affect Disord. 2017;219:86–92. 3. Evans-Lacko S, Aguilar-Gaxiola S, Al-Hamzawi A, et al. Socio-economic variations in the mental health treatment gap for people with anxiety, mood, and substance use disorders: results from the WHO World Mental Health (WMH) surveys. Psychol Med. 2018;48(9):1560-1571.",https://www.who.int/news-room/fact-sheets/detail/depression,clinical_guidelines
WHO,anxiety,Key facts,condition_info,"Anxiety disorders are the world’s most common mental disorders, affecting 359 million people in 2021. More women are affected by anxiety disorders than men. Symptoms of anxiety often have onset during childhood or adolescence. There are highly effective treatments for anxiety disorders. Approximately 1 in 4 people with anxiety disorders receive treatment for this condition.",https://www.who.int/news-room/fact-sheets/detail/anxiety-disorders,clinical_guidelines
WHO,anxiety,Overview,condition_info,"Everyone can feel anxious sometimes, but people with anxiety disorders often experience fear and worry that is both intense and excessive. These feelings are typically accompanied by physical tension and other behavioural and cognitive symptoms. They are difficult to control, cause significant distress and can last a long time if untreated. Anxiety disorders interfere with daily activities and can impair a person’s family, social and school or working life. An estimated 4.4% of the global population currently experience an anxiety disorder (1). In 2021, 359 million people in the world had an anxiety disorder, making anxiety disorders the most common of all mental disorders (1). Although highly effective treatments for anxiety disorders exist, only about 1 in 4 people in need (27.6%) receive any treatment (2). Barriers to care include lack of awareness that this is a treatable health condition, lack of investment in mental health services, lack of trained health-care providers, and social stigma.",https://www.who.int/news-room/fact-sheets/detail/anxiety-disorders,clinical_guidelines
WHO,anxiety,Symptoms and patterns,condition_info,"People with an anxiety disorder may experience excessive fear or worry about a specific situation (for example, a panic attack or social situation) or, in the case of generalized anxiety disorder, about a broad range of everyday situations. They typically experience these symptoms over an extended period – at least several months. Usually they avoid the situations that make them anxious. having a sense of impending danger, panic or doom. Anxiety disorders increase the risk for depression and substance use disorders as well as the risk of suicidal thoughts and behaviours. There are several different kinds of anxiety disorders, including: generalized anxiety disorder (persistent and excessive worry about daily activities or events); panic disorder (panic attacks and fear of continued panic attacks); social anxiety disorder (high levels of fear and worry about social situations that might make the person feel humiliated, embarrassed or rejected); agoraphobia (excessive fear, worry and avoidance of situations that might cause a person to panic or feel trapped, helpless or embarrassed); separation anxiety disorder (excessive fear or worry about being separated from people with whom the person has a deep emotional bond); specific phobias (intense, irrational fears of specific objects or situations that lead to avoidance behaviour and significant distress); and selective mutism (consistent inability to speak in certain social situations, despite the ability to speak comfortably in other settings, primarily affecting children). People may experience more than one anxiety disorder at the same time. Symptoms often begin during childhood or adolescence and continue into adulthood. Girls and women are more likely to experience an anxiety disorder than boys and men.",https://www.who.int/news-room/fact-sheets/detail/anxiety-disorders,clinical_guidelines
WHO,anxiety,Contributing factors and prevention,condition_info,"Anxiety disorders, like other mental health conditions, result from a complex interaction of social, psychological and biological factors. Anyone can have an anxiety disorder, but people who have lived through abuse, severe losses or other adverse experiences are more likely to develop one. Anxiety disorders are closely related to and affected by physical health. Many of the impacts of anxiety (such as physical tension, nervous system hyperactivity or harmful use of alcohol) are also known risk factors for diseases such as cardiovascular disease. In turn, people with these diseases may also find themselves experiencing anxiety disorders due to the difficulties associated with managing their conditions. Effective community-based approaches to prevent anxiety include parental education and school-based programmes to enhance social and emotional learning and build positive coping in children and adolescents. Exercise programmes can also be effective in preventing anxiety disorders in adults.",https://www.who.int/news-room/fact-sheets/detail/anxiety-disorders,clinical_guidelines
WHO,anxiety,Diagnosis and treatment,condition_info,"There are several effective treatments for anxiety disorders. People with symptoms of anxiety should seek care. Psychological interventions are essential treatments for anxiety disorders and refer primarily to talk therapy with professionals or supervised lay therapists. These interventions can help people learn new ways of thinking, coping or relating to their anxiety, to others or to the world. They can teach people how to face the situations, events, people or places that trigger their anxiety. Psychological interventions can be provided to individuals or groups, in person or online. They may also be accessed through self-help manuals, websites and apps. The psychological interventions with the most evidence for treating a range of anxiety disorders are those based on principles of cognitive-behavioural therapy. These include exposure therapy, during which people learn to face their fears. In addition, learning stress management skills, such as relaxation skills and mindfulness skills, can help reduce symptoms of anxiety disorders. Antidepressant medications, such as selective serotonin reuptake inhibitors (SSRIs), can also be useful in treating adults with anxiety disorders. Health-care providers should keep in mind the possible adverse effects associated with antidepressant medication, the ability to deliver either intervention (in terms of expertise, and/or treatment availability), and individual preferences. Benzodiazepines, which have historically been prescribed for anxiety disorders, are generally not recommended for anxiety disorders because of their high potential for dependence as well as their limited long-term effectiveness.",https://www.who.int/news-room/fact-sheets/detail/anxiety-disorders,clinical_guidelines
WHO,anxiety,Self-care,condition_info,"Self-care can play an important role in supporting treatment. To help manage your symptoms of anxiety and promote your overall well-being, you can: avoid or cut down on alcohol and don’t use illicit drugs, which can make anxiety worse; exercise regularly, even if it’s just a short walk; stick to regular eating and sleeping habits as much as possible and eat a healthy diet; learn relaxation techniques, such as slow breathing and progressive muscle relaxation; and develop the habit of mindfulness meditation, even if it’s just a few minutes per day.",https://www.who.int/news-room/fact-sheets/detail/anxiety-disorders,clinical_guidelines
